id,name,phone number,address,Typeofbuilding,budget,dateofcompletion,location,square feet,category
1,Adhiran,9126470042,"Dhan Residency, Wanowrie, , Pune, Maharashtra",AssemblyBuildings,15980000,9/15/2023,"AWHO Vijay Vihar, Wagholi, , Pune, Maharashtra",1000,
2,Adhiyaman,9121058703,"Supriya Gardens, Aundh, , Pune, Maharashtra",AssemblyBuildings,75980000,12-03-2023,"Sunshine Hills 2, Pisoli, , Pune, Maharashtra",1000,
3,Adishan,9126921000,"Geeta Golden Palms, Bhukum, , Pune, Maharashtra",AssemblyBuildings,150000000,9/30/2023,"Aldea Annexo Puranik, Baner, , Pune, Maharashtra",1000,
4,Aditiyan,9124448424,"Green valley, Wanowrie, , Pune, Maharashtra",AssemblyBuildings,90000000,7/29/2023,"Talegaon Dabhade, , Pune, Maharashtra",1000,
5,Sathi,9120876558,"Premlok Park, Chinchwad, , Pune, Maharashtra",AssemblyBuildings,6900000,4/28/2024,"Goel Ganga Constella, Eon Free Zone , , Pune, Maharashtra",1000,
6,Sathyagan,9121018282,"Sudhir Mandke Advantage Homes, Lullanagar, , Pune, Maharashtra",AssemblyBuildings,510000000,08-02-2023,"SKYi Manas Lake, Bhukum, , Pune, Maharashtra",1000,
7,Sathyanth,9127324590,"Karve Nagar, , Pune, Maharashtra",AssemblyBuildings,9500000,9/16/2023,"Mansi Apartment, Madhuban Society, Old Sangvi, , Pune, Maharashtra",1600,
8,Sathyarajan,9121019105,"Florida minis Keshav Nagar mundhwa pune, Keshav Nagar mundhwa, , Pune, Maharashtra",AssemblyBuildings,143000000,6/25/2023,"Hari Ganga, Yerwada, , Pune, Maharashtra",1600,
9,Pita Vasase,9121003539,"Mundhwa, , Pune, Maharashtra",AssemblyBuildings,355000000,12/22/2023,"Paranjape Schemes' Rolling Hills 2 , Baner, , Pune, Maharashtra",1600,
10,Pogazhenthi,9125726785,"GK Dayal Heights, Pimple Saudagar, , Pune, Maharashtra",AssemblyBuildings,12000000,4/29/2023,"Balaji Krushna Kunj Society, Manjri BK, , Pune, Maharashtra",1600,
11,Ponkaran,9129269441,"Magarpatta, , Pune, Maharashtra",AssemblyBuildings,6800000,7/29/2023,"Nyati Empire, Kharadi, , Pune, Maharashtra",1600,
12,Ponnamman,9122910091,"Arya Society, Sinhgad Road, , Pune, Maharashtra",AssemblyBuildings,99000000,9/16/2023,"Gurudutt Society, Dhankawadi, , Pune, Maharashtra",1600,
13,Geethapriya,9122005465,"Satish Crystal Heights, Wakad, , Pune, Maharashtra",AssemblyBuildings,64000000,06-10-2023,"Mulani Complex, Somnath Nagar, , Pune, Maharashtra",1600,
